WGS 84 UTM/UPS  34T 0396802 4706512

compass clino tape

1.0		137.62	37.13	6.783
1.0	1.1	266.14	37.08	2.591
1.1		210.57	6.93	0.409 
1.1		018.36	8.16	1.084
1.1		325.64	67.53 0.663    
1.1		038.00	-74.86 0.814    
1.1	1.2     298.89 31.27 6.833   
1.2		250.64  48.52  3.789
1.2		296.86 6.23 1.852   
1.2		146.21 -1.24 0.763  
1.2	1.3      1.79 -36.97 3.944  
1.3		346.78 14.65  1.208   
1.3		348.10 79.93 0.385   
1.3		161.75  18.10 0.452   
1.3	1.4	54.04 -13.12  3.338
1.4		320.39  33.11  3.209 
1.4		140.40 4.97 1.476     
1.4		81.84  76.95  2.418 
1.4		135.75 -68.05 1.166   
1.4	1.5     53.12 -25.75 8.446
1.5		168.88 -5.48 6.090  
1.5		194.19 1.29 5.318   
1.5		95.59 -7.53 5.763    
1.5		14.06   7.92  2.927
1.5		153.90 79.12 2.427  
1.5		292.42 28.77   4.559 
1.3	2.0	0.000    0.00    0.00      
2.0	2.1	77.54 6.05  1.469
2.1	2.2	308.37 40.83 4.247   
2.2		47.20 60.89 1.655     
2.2		21.34 19.65  4.751 
2.2		219.20 26.09 4.652   
2.2		47.16  15.25 0.787  
2.2	2.3	286.19 29.04 2.244   
2.3		294.54 77.10 0.892     
2.3		346.55   16.28  1.897   
2.3		191.89 13.64 4.779    
2.3	2.4	277.49 21.02  3.804  
2.4		170.92  7.74   1.739 
2.4		199.40 -76.92 0.250   
2.4		188.87  80.05 0.441    
2.4		57.47  -15.58 3.059  
2.4	2.5	245.96 33.87 4.271
2.5	2.6	183.13 15.83  2.688
2.6	2.7	208.88 14.31 1.002 
2.7	2.8	261.23 45.03 2.618 
2.8		217.49 -1.28 0.743   
2.8		308.28 16.94 1.769   
2.8		355.11 8.93 2.207    
2.8	2.9	246.52 22.48 3.815
2.9	5.0	0.000    0.00    0.00
5.0		199.40 0.69 1.000
5.0		12.52 5.22 0.880



5.0		357.50 90.00 0.500
5.0		357.50 -90.00 0.500
5.0	5.1	291.43 2.24 7.999
5.1		207.29 1.19 0.580
5.1		21.23 12.83 0.640
5.1		357.50 90.00 2.310
5.1		357.50 -90.00 0.510
5.1	5.2	276.70 56.20 15.620
5.2		270.00 0.00 4.490
5.2		90.00 0.00 6.540
5.2		357.50 90.00 22.110
5.2		357.50 -90.00 1.500
5.2	5.3	266.60 73.09 13.341
5.3		 90.00 0.00 6.540
5.3 		179.99 0.00 4.710
5.3		357.50 90.00 9.490
5.3		357.50 -90.00 13.420
5.3	5.4	205.59 34.90 4.710
5.4	5.5	241.61 83.00 17.220
5.5	5.6	357.50 90.00 6.700




Finds
001	0396661 4706425
002	0396646	4706437
